Fecha,Qd_m3s
1/01/2017,20.0
2/01/2017,22.0
3/01/2017,37.0
4/01/2017,32.0
5/01/2017,30.0
6/01/2017,30.0
7/01/2017,35.0
8/01/2017,33.0
9/01/2017,28.0
10/01/2017,29.0
11/01/2017,33.0
12/01/2017,35.0
13/01/2017,51.0
14/01/2017,72.0
15/01/2017,95.0
16/01/2017,112.5
17/01/2017,130.0
18/01/2017,139.0
19/01/2017,125.0
20/01/2017,115.0
21/01/2017,99.0
22/01/2017,94.0
23/01/2017,100.0
24/01/2017,119.0
25/01/2017,180.0
26/01/2017,235.6
27/01/2017,211.0
28/01/2017,219.0
29/01/2017,142.0
30/01/2017,105.0
31/01/2017,106.0
1/02/2017,108.5
2/02/2017,97.0
3/02/2017,101.4
4/02/2017,94.0
5/02/2017,95.0
6/02/2017,96.0
7/02/2017,121.3
8/02/2017,152.0
9/02/2017,154.0
10/02/2017,159.0
11/02/2017,178.0
12/02/2017,189.0
13/02/2017,204.0
14/02/2017,204.0
15/02/2017,165.0
16/02/2017,160.0
17/02/2017,150.0
18/02/2017,160.0
19/02/2017,165.0
20/02/2017,170.0
21/02/2017,155.0
22/02/2017,158.0
23/02/2017,160.0
24/02/2017,180.0
25/02/2017,200.0
26/02/2017,245.0
27/02/2017,280.0
28/02/2017,320.0
1/03/2017,290.0
2/03/2017,260.0
3/03/2017,230.0
4/03/2017,240.0
5/03/2017,270.0
6/03/2017,280.0
7/03/2017,260.0
8/03/2017,270.0
9/03/2017,265.0
10/03/2017,260.0
11/03/2017,280.0
12/03/2017,260.0
13/03/2017,240.0
14/03/2017,225.0
15/03/2017,290.0
16/03/2017,270.0
17/03/2017,260.0
18/03/2017,230.0
19/03/2017,220.0
20/03/2017,190.0
21/03/2017,195.0
22/03/2017,190.0
23/03/2017,190.0
24/03/2017,200.0
25/03/2017,195.0
26/03/2017,190.0
27/03/2017,195.0
28/03/2017,190.0
29/03/2017,190.0
30/03/2017,185.0
31/03/2017,185.0
1/04/2017,190.0
2/04/2017,205.0
3/04/2017,200.0
4/04/2017,240.0
5/04/2017,230.0
6/04/2017,205.0
7/04/2017,185.0
8/04/2017,160.0
9/04/2017,150.0
10/04/2017,140.0
11/04/2017,105.0
12/04/2017,100.0
13/04/2017,90.0
14/04/2017,90.0
15/04/2017,85.0
16/04/2017,82.0
17/04/2017,83.0
18/04/2017,80.0
19/04/2017,70.0
20/04/2017,65.0
21/04/2017,60.0
22/04/2017,60.0
23/04/2017,58.0
24/04/2017,55.0
25/04/2017,55.0
26/04/2017,50.0
27/04/2017,50.0
28/04/2017,45.0
29/04/2017,45.0
30/04/2017,45.0
1/05/2017,50.0
2/05/2017,45.0
3/05/2017,45.0
4/05/2017,45.0
5/05/2017,42.0
6/05/2017,48.0
7/05/2017,55.0
8/05/2017,49.0
9/05/2017,47.0
10/05/2017,45.0
11/05/2017,45.0
12/05/2017,44.0
13/05/2017,40.0
14/05/2017,37.0
15/05/2017,34.0
16/05/2017,30.0
17/05/2017,31.0
18/05/2017,27.0
19/05/2017,26.0
20/05/2017,25.0
21/05/2017,25.0
22/05/2017,26.0
23/05/2017,25.0
24/05/2017,24.0
25/05/2017,24.0
26/05/2017,24.0
27/05/2017,23.0
28/05/2017,23.0
29/05/2017,22.0
30/05/2017,22.0
31/05/2017,22.0
1/06/2017,20.0
2/06/2017,19.0
3/06/2017,19.0
4/06/2017,19.0
5/06/2017,19.0
6/06/2017,18.0
7/06/2017,18.0
8/06/2017,18.0
9/06/2017,17.0
10/06/2017,17.0
11/06/2017,17.0
12/06/2017,17.0
13/06/2017,16.0
14/06/2017,16.0
15/06/2017,15.0
16/06/2017,14.0
17/06/2017,14.0
18/06/2017,14.0
19/06/2017,14.0
20/06/2017,14.0
21/06/2017,14.0
22/06/2017,14.0
23/06/2017,15.0
24/06/2017,15.0
25/06/2017,15.0
26/06/2017,14.0
27/06/2017,16.0
28/06/2017,14.0
29/06/2017,14.0
30/06/2017,14.0
1/07/2017,14.0
2/07/2017,14.0
3/07/2017,14.0
4/07/2017,14.0
5/07/2017,13.0
6/07/2017,13.0
7/07/2017,13.0
8/07/2017,13.0
9/07/2017,13.0
10/07/2017,12.0
11/07/2017,12.0
12/07/2017,12.0
13/07/2017,12.0
14/07/2017,12.0
15/07/2017,12.0
16/07/2017,12.0
17/07/2017,12.0
18/07/2017,12.0
19/07/2017,12.0
20/07/2017,12.0
21/07/2017,12.0
22/07/2017,12.0
23/07/2017,12.0
24/07/2017,12.0
25/07/2017,12.0
26/07/2017,12.0
27/07/2017,11.0
28/07/2017,11.0
29/07/2017,11.0
30/07/2017,11.0
31/07/2017,11.0
1/08/2017,11.0
2/08/2017,11.0
3/08/2017,11.0
4/08/2017,11.0
5/08/2017,11.0
6/08/2017,11.0
7/08/2017,10.0
8/08/2017,10.0
9/08/2017,10.0
10/08/2017,10.0
11/08/2017,10.0
12/08/2017,10.0
13/08/2017,10.0
14/08/2017,10.0
15/08/2017,10.0
16/08/2017,10.0
17/08/2017,10.0
18/08/2017,10.0
19/08/2017,10.0
20/08/2017,10.0
21/08/2017,10.0
22/08/2017,10.0
23/08/2017,10.0
24/08/2017,10.0
25/08/2017,9.0
26/08/2017,9.0
27/08/2017,9.0
28/08/2017,9.0
29/08/2017,16.0
30/08/2017,16.0
31/08/2017,9.0
1/09/2017,9.0
2/09/2017,9.0
3/09/2017,9.0
4/09/2017,9.0
5/09/2017,9.0
6/09/2017,9.0
7/09/2017,9.0
8/09/2017,9.0
9/09/2017,9.0
10/09/2017,9.0
11/09/2017,9.0
12/09/2017,9.0
13/09/2017,9.0
14/09/2017,9.0
15/09/2017,9.0
16/09/2017,9.0
17/09/2017,9.0
18/09/2017,9.0
19/09/2017,9.0
20/09/2017,9.0
21/09/2017,9.0
22/09/2017,9.0
23/09/2017,9.0
24/09/2017,9.0
25/09/2017,9.0
26/09/2017,9.0
27/09/2017,9.0
28/09/2017,9.0
29/09/2017,9.0
30/09/2017,9.0
1/10/2017,9.0
2/10/2017,9.0
3/10/2017,9.0
4/10/2017,9.0
5/10/2017,9.0
6/10/2017,9.0
7/10/2017,9.0
8/10/2017,9.0
9/10/2017,9.0
10/10/2017,10.0
11/10/2017,10.0
12/10/2017,10.0
13/10/2017,10.0
14/10/2017,10.0
15/10/2017,10.0
16/10/2017,11.0
17/10/2017,13.0
18/10/2017,14.0
19/10/2017,14.0
20/10/2017,14.0
21/10/2017,13.0
22/10/2017,13.0
23/10/2017,13.0
24/10/2017,13.0
25/10/2017,13.0
26/10/2017,13.0
27/10/2017,13.0
28/10/2017,13.0
29/10/2017,14.0
30/10/2017,14.0
31/10/2017,14.0
1/11/2017,14.0
2/11/2017,14.0
3/11/2017,14.0
4/11/2017,14.0
5/11/2017,14.0
6/11/2017,14.0
7/11/2017,14.0
8/11/2017,14.0
9/11/2017,13.0
10/11/2017,13.0
11/11/2017,13.0
12/11/2017,13.0
13/11/2017,13.0
14/11/2017,13.0
15/11/2017,13.0
16/11/2017,13.0
17/11/2017,13.0
18/11/2017,13.0
19/11/2017,13.0
20/11/2017,13.0
21/11/2017,13.0
22/11/2017,13.0
23/11/2017,13.0
24/11/2017,12.0
25/11/2017,12.0
26/11/2017,12.0
27/11/2017,12.0
28/11/2017,13.0
29/11/2017,14.0
30/11/2017,14.0
1/12/2017,14.0
2/12/2017,15.0
3/12/2017,15.0
4/12/2017,15.0
5/12/2017,15.0
6/12/2017,14.0
7/12/2017,14.0
8/12/2017,14.0
9/12/2017,14.0
10/12/2017,14.0
11/12/2017,14.0
12/12/2017,14.0
13/12/2017,15.0
14/12/2017,15.0
15/12/2017,18.0
16/12/2017,18.0
17/12/2017,18.0
18/12/2017,20.5
19/12/2017,22.0
20/12/2017,19.0
21/12/2017,21.0
22/12/2017,23.0
23/12/2017,21.0
24/12/2017,20.0
25/12/2017,18.0
26/12/2017,17.0
27/12/2017,21.0
28/12/2017,20.5
29/12/2017,28.0
30/12/2017,20.5
31/12/2017,21.0
